row_id,#source,#lat_deg,#lon_deg,#report_date,#status_id,#water_source_clean,#water_source_category,#water_tech_clean,#water_tech_category,#clean_adm1,#clean_adm2,#rehab_year,#rehabilitator,#management_clean,#status_clean,#pay,#fecal_coliform_value,#subjective_quality,#wpdx_id,#distance_to_primary_road,#distance_to_secondary_road,#distance_to_tertiary_road,#distance_to_city,#distance_to_town,rehab_priority,water_point_population,local_population_1km,crucialness_score,pressure_score,usage_capacity,is_urban,days_since_report,staleness_score,#water_source,#water_tech,#status,New Georeferenced Column ,lat_lon_deg
160655,WaterAid,6.78599,6.95009,12/4/2020 0:00,Yes,Borehole,Well,Hand Pump,Hand Pump,Enugu,Uzo-Uwani,2020,WaterAid,,,,0,Within National standards (potable),6FR8QXP2+92W,7934.172431,9303.802291,7132.512667,65148.15521,31566.97017,,42,74,0.567568,0.14,300,FALSE,655,81.3455,Borehole fitted with Handpump,India MKIII,,POINT (6.95009 6.78599),"(6.78599°, 6.95009°)"
602013,WaterAid,6.7995951,7.615451,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark III,Hand Pump,Enugu,Udenu,2020,WaterAid,,Non-Functional,No,0,Within National standards (potable),6FR9QJX8+R5C,7724.576908,16639.68985,455.864295,40716.52165,25402.49288,,3723,7569,0.491875,12.41,300,FALSE,705,80.07349,Borehole or tubewell,India MKIII,Non-functional Technical breakdown,POINT (7.61545100000001 6.799595099999997),"(6.799595099999997°, 7.61545100000001°)"
160664,WaterAid,6.30817,7.30539,12/4/2020 0:00,Yes,Borehole,Well,Mechanized Pump - Solar,Mechanized Pump,Enugu,Udi,2020,WaterAid,,,,0,Within National standards (potable),6FR98854+862,3339.00986,6965.789544,6853.670974,26636.9252,30353.7551,,371,371,1,0.371,1000,FALSE,655,81.3455,Solar powered borehole,Solar powered pump,,POINT (7.30539 6.30817),"(6.30817°, 7.30539°)"
602010,WaterAid,6.759284,7.6002395,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark II,Hand Pump,Enugu,Isi-Uzo,2020,WaterAid,,,,0,Within National standards (potable),6FR9QJ52+P39,10958.19565,16920.42402,27.56723004,35956.59263,25316.9309,,2517,5006,0.502797,8.39,300,FALSE,705,80.07349,Borehole or tubewell,India MKII,,POINT (7.600239500000003 6.75928399999998),"(6.75928399999998°, 7.600239500000003°)"
602020,WaterAid,6.7831484,7.6641005,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark III,Hand Pump,Enugu,Isi-Uzo,2020,WaterAid,,,,0,Within National standards (potable),6FR9QMM7+7J5,5476.529714,18424.46847,138.8202582,41070.84499,31065.81239,,611,1737,0.351756,2.036667,300,FALSE,705,80.07349,Borehole or tubewell,India MKIII,,POINT (7.664100499999998 6.7831483999999564),"(6.7831483999999564°, 7.664100499999998°)"
602052,WaterAid,6.7866096,6.9489241,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark III,Hand Pump,Enugu,Uzo-Uwani,2020,WaterAid,,,,0,Within National standards (potable),6FR8QWPX+JHV,8078.205766,9396.906012,7218.554473,65242.38834,31617.41072,,32,74,0.432432,0.106667,300,FALSE,705,80.07349,Borehole or tubewell,India MKIII,,POINT (6.948924099999992 6.78660959999996),"(6.78660959999996°, 6.948924099999992°)"
602022,WaterAid,6.7723255,7.6605357,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark III,Hand Pump,Enugu,Isi-Uzo,2020,WaterAid,,,,0,Within National standards (potable),6FR9QMC6+W6M,5990.559795,19626.78494,44.92996401,39823.40722,31021.96542,,546,1763,0.309699,1.82,300,FALSE,705,80.07349,Borehole or tubewell,India MKIII,,POINT (7.660535699999995 6.772325499999996),"(6.772325499999996°, 7.660535699999995°)"
602018,WaterAid,6.7832102,7.604793,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark II,Hand Pump,Enugu,Isi-Uzo,2020,WaterAid,,Non-Functional,No,,Within National standards (potable),6FR9QJM3+6W2,9885.491988,16454.2384,65.29969628,38630.32874,24791.29774,,3814,3880,0.98299,12.713333,300,FALSE,705,80.07349,Borehole or tubewell,India MKII,Non-functional Technical breakdown,POINT (7.604793000000006 6.783210199999977),"(6.783210199999977°, 7.604793000000006°)"
602058,WaterAid,6.7623749,7.6599105,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark II,Hand Pump,Enugu,Isi-Uzo,2020,WaterAid,,Non-Functional,No,,Within National standards (potable),6FR9QM75+2W8,6323.76193,20728.59623,16.19883979,38809.99139,31303.26303,,572,1582,0.361568,1.906667,300,FALSE,705,80.07349,Borehole or tubewell,India MKII,Non-functional Technical breakdown,POINT (7.659910499999997 6.762374899999978),"(6.762374899999978°, 7.659910499999997°)"
602009,WaterAid,6.7592983,7.59962,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark II,Hand Pump,Enugu,Isi-Uzo,2020,WaterAid,,Non-Functional,No,,Within National standards (potable),6FR9QH5X+PR9,10897.70375,16858.17376,92.36724865,35937.00564,25254.55945,,2489,5032,0.494634,8.296667,300,FALSE,705,80.07349,Borehole or tubewell,India MKII,Non-functional Technical breakdown,POINT (7.59962000000001 6.759298299999966),"(6.759298299999966°, 7.59962000000001°)"
598485,WaterAid,11.7887761,13.1498954,08/16/2022 12:00:00 AM,Yes,Borehole,Well,Mechanized Pump,Mechanized Pump,Borno,Jere,2020,WaterAid,,,,,,7F3MQ4QX+FX7,2351.478612,965.6353074,212.5425275,5629.930209,13559.53249,,6693,37211,0.179866,6.693,1000,TRUE,35,98.90282,Borehole or tubewell,,,POINT (13.149895400000005 11.788776099999984),"(11.788776099999984°, 13.149895400000005°)"
602011,WaterAid,6.7980261,7.614537,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - Afridev,Hand Pump,Enugu,Udenu,2020,WaterAid,,,,,Within National standards (potable),6FR9QJX7+6R7,7925.296621,16671.69447,415.231319,40520.08558,25348.01703,,3846,7964,0.482923,12.82,300,FALSE,705,80.07349,Borehole or tubewell,Afridev,,POINT (7.614537000000009 6.798026099999988),"(6.798026099999988°, 7.614537000000009°)"
602042,WaterAid,6.7623341,7.6607094,10/15/2020 12:00:00 AM,Yes,Borehole,Well,Hand Pump - India Mark II,Hand Pump,Enugu,Isi-Uzo,2020,WaterAid,,,,,Within National standards (potable),6FR9QM66+W7P,6241.711041,20731.01089,8.348262691,38846.3137,31388.0965,,566,1582,0.357775,1.886667,300,FALSE,705,80.07349,Borehole or tubewell,India MKII,,POINT (7.660709400000003 6.762334100000002),"(6.762334100000002°, 7.660709400000003°)"
598788,WaterAid,11.8308977,13.0842374,08/17/2022 12:00:00 AM,Yes,Borehole,Well,,,Borno,Konduga,2020,WaterAid,,,,,,7F3MR3JM+9M5,5838.95799,6880.652673,1393.133207,7620.83007,17948.67192,,306,3755,0.081491,1.02,300,TRUE,34,98.934,Borehole or tubewell,,,POINT (13.084237400000001 11.830897699999998),"(11.830897699999998°, 13.084237400000001°)"
